name,value,year,lastValue,rank
California,4457.969122,2017,4457.969122,1
California,4224.86062,2013,4224.86062,1
California,4157.952585,2012,4157.952585,1
California,4111.264308,2011,4111.264308,1
California,4037.822058,2009,4037.822058,1
California,3984.62727,1993,3984.62727,1
California,3973.869677,1990,3973.869677,1
California,3927.92443,1991,3927.92443,1
California,3912.625447,1994,3912.625447,1
California,3904.484234,2008,3904.484234,1
California,3895.701022,2007,3895.701022,1
California,3854.703904,1995,3854.703904,1
California,3824.443458,2006,3824.443458,1
California,3704.650309,2005,3704.650309,1
California,3651.534235,2003,3651.534235,1
California,3611.602814,1997,3611.602814,1
California,3583.699207,1998,3583.699207,1
Texas,3580.827064,2015,3580.827064,1
California,3513.777614,2002,3513.777614,1
California,3469.211426,2001,3469.211426,1
California,3425.026248,1999,3425.026248,1
Texas,3373.891528,2013,3373.891528,21
Texas,3275.044648,2012,3275.044648,21
Florida,3241.931443,2015,3241.931443,7
Texas,3164.486828,2011,3164.486828,22
Texas,3050.971547,2009,3050.971547,22
Florida,3020.458973,2012,3020.458973,25
Florida,3018.8011,2013,3018.8011,27
Florida,3002.012009,2011,3002.012009,26
Florida,2972.047497,2009,2972.047497,26
Texas,2951.960066,2008,2951.960066,22
Florida,2939.048615,2008,2939.048615,23
Texas,2837.530575,2007,2837.530575,23
Florida,2837.341662,2007,2837.341662,24
Florida,2771.412156,2006,2771.412156,23
Texas,2705.114396,2006,2705.114396,24
Florida,2675.678232,2005,2675.678232,24
Texas,2627.534127,2005,2627.534127,25
Florida,2585.595838,2004,2585.595838,1
Texas,2541.495039,2003,2541.495039,26
Florida,2529.942574,2003,2529.942574,27
Texas,2516.271026,2002,2516.271026,24
Texas,2435.823781,1994,2435.823781,35
Texas,2432.170724,2001,2432.170724,25
Florida,2432.162188,2001,2432.162188,26
Texas,2428.489551,1993,2428.489551,41
Texas,2403.914325,1992,2403.914325,1
Texas,2400.985437,1996,2400.985437,1
Texas,2385.081098,1995,2385.081098,38
Texas,2377.037037,1990,2377.037037,44
Texas,2373.332543,1991,2373.332543,44
Texas,2364.575831,1997,2364.575831,37
Florida,2353.379699,2000,2353.379699,1
Texas,2344.991069,2000,2344.991069,2
Texas,2331.031719,1998,2331.031719,39
Florida,2294.089358,1995,2294.089358,45
Texas,2286.585535,1999,2286.585535,37
Florida,2278.984848,1998,2278.984848,42
Florida,2268.971239,1999,2268.971239,39
Florida,2258.725408,1997,2258.725408,45
Florida,2254.671845,1996,2254.671845,14
Florida,2195.216211,1993,2195.216211,57
Florida,2173.64978,1990,2173.64978,57
Florida,2131.030836,1991,2131.030836,57
Florida,2124.408963,1992,2124.408963,19
Pennsylvania,1972.383841,2015,1972.383841,49
Pennsylvania,1884.79531,2011,1884.79531,64
Pennsylvania,1880.7445,2013,1880.7445,67
Pennsylvania,1858.662116,2012,1858.662116,67
New York,1829.357229,2011,1829.357229,67
New York,1811.642072,2012,1811.642072,69
New York,1793.227224,2017,1793.227224,72
New York,1790.027868,2013,1790.027868,72
Pennsylvania,1779.040077,2010,1779.040077,1
New York,1773.297828,2015,1773.297828,58
Pennsylvania,1761.754498,2009,1761.754498,72
New York,1755.28535,1990,1755.28535,71
New York,1737.157454,1991,1737.157454,71
Ohio,1735.179148,2015,1735.179148,62
Pennsylvania,1720.289262,2008,1720.289262,71
New York,1704.470655,1992,1704.470655,35
New York,1682.955072,1993,1682.955072,77
Pennsylvania,1671.990963,2006,1671.990963,71
Pennsylvania,1667.683066,1993,1667.683066,79
Pennsylvania,1662.47685,2007,1662.47685,75
Pennsylvania,1657.522197,1995,1657.522197,75
Pennsylvania,1656.185072,1997,1656.185072,72
Pennsylvania,1655.860884,1996,1655.860884,41
Pennsylvania,1644.827678,2005,1644.827678,76
Pennsylvania,1643.43643,1994,1643.43643,82
Pennsylvania,1639.562078,1992,1639.562078,45
